[000:00:00;567] >>
[000:12:39;492] HELP, CALLING HURRICANE MARIA'S
[000:12:41;260] DESTRUCTION A HUMANITARIAN
[000:12:43;129] DISASTER FOR ITS 3.4 MILLION
[000:12:44;163] U.S. CITIZENS.
[000:12:47;566] WE ARE MANY DAYS REMOVED FROM
[000:12:49;268] HURRICANE MAN SEE, THERE ARE STL
[000:12:51;971] SEVERAL NEIGHBORHOODS THAT ARE
[000:12:52;605] FLOODED.
[000:12:54;039] HOME AFTER HOME RIPPED TO
[000:12:57;276] SHREDS.
[000:12:58;711] MUDSLIDES LEAVING HOMES
[000:12:59;512] TEETERING ON THE EDGE.
[000:13:01;280] THE GROUND THEY WERE BUILT ON
[000:13:03;916] GONE.
[000:13:04;450] ON THE GROUND, FEAR OF A
[000:13:04;984] CATASTROPHIC FAILURE AT THE
[000:13:08;587] GUAJATACA DAM.
[000:13:08;921] 8,000 RESIDENTS TOLD TO GET OUT
[000:13:09;555] NOW.
[000:13:13;259] >> THE CREW THAT'S BEHIND US,
[000:13:14;827] THEY WALKED ABOUT TWO MILES TO
[000:13:15;461] GAIN ACCESS TO A PERSON WHO WE
[000:13:17;263] KNEW NEEDED HELP.
[000:13:19;532] >> Reporter: A STRUGGLE FOR
[000:13:20;099] BASIC NECESSITIES IN THE
[000:13:20;633] SWELTERING HEAT.
[000:13:23;169] WE MET JOSE VIDAL STANDING IN
[000:13:24;703] THE SUN, TRYING TO GET A DAY'S
[000:13:26;806] WORTH OF GENERATOR FUEL.
[000:13:28;374] CUT OFF FROM FAMILY.
[000:13:29;942] YOU HAVEN'T TALKED TO YOUR
[000:13:30;943] FAMILY TO LET THEM KNOW YOU'RE
[000:13:31;577] ACT YET?
[000:13:33;045] >> NO, NO.
[000:13:35;514] MY MOM, I HAVEN'T SPOKEN TO HER.
[000:13:36;682] >> Reporter: WE LET HIM BORROW
[000:13:37;316] OUR PHONE.
[000:13:37;716] >> HEY, MA.
[000:13:41;253] HOW YOU DOING?
[000:13:43;455] I'M OKAY.
[000:13:46;058] I'M ALL RIGHT.
[000:13:48;627] DOING OKAY.
[000:13:48;928] DOING THE BEST WE CAN.
[000:13:52;298] >> Reporter: A MOMENT OF CONTACT
[000:13:53;265] AMID ALL THIS ISOLATION.
[000:13:55;935] >> IT'S BEEN SO POWERFUL TO
[000:13:57;269] WATCH THOSE PHONE CALLS,
[000:13:57;803] FAMILIES FINALLY CONNECTING,
[000:13:59;538] EVEN DAYS AFTER MARIA.
[000:14:00;005] EVA WITH US LIVE TONIGHT.
[000:14:01;273] AND EVA, THERE'S BEEN SOME
[000:14:02;174] PROGRESS INVOLVING COMMERCIAL
[000:14:02;775] FLIGHTS IN AND OUT OF PUERTO
[000:14:04;243] RICO?
[000:14:04;443] >> Reporter: THAT'S RIGHT,
[000:14:05;277] DAVID.
[000:14:06;846] THE FAA SAYS THERE ARE ABOUT A
[000:14:07;479] DOZEN FLIGHTS IN AND OUT OF SAN
[000:14:09;248] JUAN EACH DAY, AND RISING.
[000:14:11;584] BUT MARIA DESTROYED SOME
[000:14:12;585] CRITICAL NAVIGATIONAL SYSTEMS.
[000:14:17;256] THEY ARE HAVING TO USE CHAIN
[000:14:17;857] SAWS TO GET TO ONE OF THE MAIN
[000:14:18;490] RADAR SITES TO REPAIR IT.
[000:14:19;325] DAVID?
[000:14:21;260] >> EVA PILGRIM, THE WORK MONTHS
[000:14:21;927] AND YEARS TO COME.
[000:14:23;495] THANK YOU.
[000:14:23;796] >>> AND NOW, A WEEK AFTER
[000:14:25;264] HURRICANE MARIA FIRST HIT THOSE
[000:14:29;268] CARIBBEAN ISLANDS, TROPICAL
[000:14:29;835] STORM WARNINGS ARE UP ALONG
[000:14:31;303] PARTS OF THE EAST COAST OF THE
[000:14:32;938] U.S. TONIGHT.
[000:14:34;173] MANDATORY EVACUATIONS FOR PARTS
[000:14:35;140] OF NORTH CAROLINA AT THIS HOUR.
[000:14:35;774] SO, LET'S GET TO CHIEF
[000:14:36;709] METEOROLOGIST GINGER ZEE, STILL
[000:14:37;343] TALKING ABOUT MARIA.
[000:14:38;777] AND A REAL THREAT TONIGHT.
[000:14:39;812] >> Reporter: AND ONLY MOVING
[000:14:40;412] NORTH AT 7 MILES PER HOUR.
[000:14:42;448] SO, IT'S GOING TO TAKE ITS TIME
[000:14:44;183] HERE, BUT THE RIP CURRENTS AND
[000:14:45;584] THE HIGH SURF COULD BE POSSIBLE
[000:14:46;785] ALL THE WAY FROM FLORIDA TO
[000:14:48;454] MASSACHUSETTS, DAVID.
[000:14:49;121] BUT YOU KIND OF ZOOM IN, YOU CAN
[000:14:50;756] SEE WHO MARIA IS GOING TO EFFECT
[000:14:53;259] THE MOST.
[000:14:54;493] THAT WOULD BE THE OUTER BANKS OF
[000:14:55;127] NORTH CAROLINA, COASTAL NORTH
[000:14:55;728] CAROLINA.
[000:14:57;096] TWO TO FOUR FEET OF STORM SURGE.
[000:14:57;730] GUSTS UP TO 60 MILES AN HOUR,
[000:14:58;631] BEFORE THIS STORM FINALLY TURNS
[000:14:59;265] INTO THE ATLANTIC THURSDAY AND
[000:14:59;899] FRIDAY.
[000:15:01;233] AND QUICKLY, THE OTHER BIG
[000:15:01;800] HEADLINE EVERYONE IS TALKING
[000:15:03;402] ABOUT, THAT INTENSE HEAT.
[000:15:05;971] THAT RIDGE HAS BEEN BUILT IN.
[000:15:09;041] MANY CITIES, CLEVELAND, DETROIT,
[000:15:09;675] CHICAGO, HAVE SEEN FOUR, FIVE OR
[000:15:11;543] SIX DAYS OF 90-PLUS.
[000:15:12;711] THERE'S SOME RELIEF, LOOKS LIKE
[000:15:13;345] GREEN ON THE MAP IS COMING.
[000:15:13;913] >> THAT'S GOOD NEWS.
[000:15:14;346] IN SOME CASES, SCHOOLS CLOSED.
[000:15:14;947] >> Reporter: ABSOLUTELY.
[000:15:16;515] >> ALL RIGHT, GINGER, THANK YOU.
[000:15:17;650] >>> NEXT, TO THAT NEW THREAT
[000:15:18;984] FROM NORTH KOREA TONIGHT.
[000:15:20;552] ITS TOP DIPLOMAT NOW SAYING THAT
[000:15:22;655] PRESIDENT TRUMP'S VERBAL ATTACKS
[000:15:24;356] ARE A DECLARATION OF WAR, AND
[000:15:26;025] THAT HIS COUNTRY NOW HAS THE
[000:15:26;926] RIGHT TO RESPOND.
[000:15:29;261] HERE'S ABC'S CHIEF GLOBAL
[000:15:30;796] AFFAIRS CORRESPONDENT MARTHA
[000:15:31;830] RADDATZ TONIGHT.
[000:15:32;364] T LLCAA ter: TONIGHT, NORTH
[000:15:37;269] TRUMP A "DECLARATION OF WAR."
[000:15:40;706] >> ROCKET MAN SHOULD'VE BEEN
[000:15:41;307] HANDLED A LONG TIME AGO.
[000:15:41;807] LITTLE ROCKET MAN.
[000:15:46;412] WE'RE GOING TO DO IT, BECAUSE WE
[000:15:47;046] REALLY HAVE NO CHOICE.
[000:15:49;014] >> Reporter: AFTER THOSE WORDS,
[000:15:49;648] A TWEET.
[000:15:52;651] THE PRESIDENT THREATENING THE
[000:15:53;252] LEADERS OF NORTH KOREA, SAYING
[000:15:55;854] THAT IF THEY KEEP UP
[000:15:56;322] PROVOCATIONS, THEY "WON'T BE
[000:15:57;289] AROUND MUCH LONGER."
[000:15:59;525] WHILE U.S. BOMBERS PUSHING
[000:16:03;062] FURTHER OFF THE COAST OF NORTH
[000:16:04;596] KOREA, THE FARTHEST NORTH
[000:16:05;130] THEY'VE BEEN IN NEARLY TWO
[000:16:05;698] DECADES.
[000:16:09;268] NORTH KOREA NOW THREATENING TO
[000:16:11;503] SHOOT THOSE BOMBERS DOWN.
[000:16:12;938] AND AT THE WHITE HOUSE TODAY --
[000:16:13;572] >> WE'VE NOT DECLARED WAR ON
[000:16:14;173] NORTH KOREA, AND FRANKLY THE
[000:16:17;076] SUGGESTION OF THAT IS ABSURD.
[000:16:17;676] >> WOW.
[000:16:18;277] A LOT GOING ON AND LET'S GET TO
[000:16:20;212] MARTHA NOW.
[000:16:21;246] SOME SOBERING WORDS FROM THE
[000:16:21;847] PRESIDENT'S NATIONAL SECURITY
[000:16:22;815] ADVISER TONIGHT, H.R. McMASTER,
[000:16:23;449] JUST A SHORT TIME AGO.
[000:16:25;851] >> Reporter: YEAH, JUST IN,
[000:16:27;152] DAVID.
[000:16:27;353] HE SAID, WHAT WE HOPE TO DO IS
[000:16:29;388] TO AVOID WAR, BUT WE CANNOT
[000:16:32;291] DISCOUNT THAT POSSIBILITY.
[000:16:32;825] AS YOU SAID, SOBERING.
[000:16:33;292] >> ALL RIGHT, MARTHA RADDATZ.
[000:16:34;360] GOOD TO HAVE YOU HERE TONIGHT.
[000:16:36;462] >>> THERE IS STILL MUCH MORE
[000:16:37;062] AHEAD ON "WORLD NEWS TONIGHT"
[000:16:37;663] THIS MONDAY.
[000:16:38;030] THE DEADLY CHURCH SHOOTING.
[000:16:38;597] AUTHORITIES REVEALING MESSAGES
[000:16:41;133] THE SUSPECT POSTED ONLINE BEFORE
[000:16:41;767] OPENING FIRE.
[000:16:43;736] >>> ALSO, THE PLANE AND THE
[000:16:44;803] SCARE JUST TODAY.
[000:16:45;204] SMOKE FILLING THE CABIN.
[000:16:46;839] PASSENGERS RUSHING TO ESCAPE
[000:16:47;439] THIS FLIGHT.
[000:16:49;274] >>> WE HAVE NEWS TONIGHT ABOUT
[000:16:53;112] ASPIRIN AND YOUR HEART AND THE
[000:16:53;746] POSSIBLE RISK TO PATIENTS WHO
[000:16:54;346] STOP TAKING THAT DAILY DOSE ON
[000:16:55;714] THEIR OWN.
[000:16:56;215] >>> AND THEN THE DEADLY CRASH.
[000:16:56;815] THE MOTHER AND TWO CHILDREN
[000:16:57;383] COLLIDING WITH A POLICE OFFICER
[000:17:00;886] RESPONDING TO EMERGENCY CALL.
[000:17:01;487] QUESTIONS TONIGHT ABOUT WHETHER
[000:17:03;489] THE OFFICER SHOULD BE CHARGED.
[000:17:05;257] A LOT MORE NEWS AHEAD.
[000:18:07;119] ...there's something you
[000:18:07;119] to smay be missing.
[000:18:09;321] A key part of your wellness
[000:18:09;321] that you may be...
[000:18:11;590] ...overlooking.
[000:18:12;524] ♪
[000:18:16;462] It's your eyes.
[000:18:18;197] That's why there's Ocuvite,
[000:18:19;665] from Bausch + Lomb.
[000:18:20;766] As you age your eyes can lose
[000:18:20;766] vital nutrients.
[000:18:23;402] Ocuvite helps replenish those
[000:18:23;402] nutrients.
[000:18:25;737] Ocuvite has Lutein, Zeaxanthin,
[000:18:25;737] and Omega-3.
[000:18:28;974] Nourish your eyes to help them
[000:18:28;974] be their healthy best.
[000:18:31;610] Ocuvite eye vitamins.
[000:18:33;312] Be good to your eyes.
[000:18:37;049] But he's got work to do.
[000:18:37;049] with a sore back.
[000:18:38;884] So he took Aleve this morning.
[000:18:43;589] If he'd taken Tylenol,
[000:18:44;823] he'd be stopping for
[000:18:44;823] more pills right now.
[000:18:47;793] Only Aleve has the
[000:18:47;793] strength to stop tough pain
[000:18:50;429] for up to 12 hours
[000:18:50;429] with just one pill.
[000:18:53;499] Tylenol can't do that.
[000:18:55;934] Aleve. All Day Strong.
[000:18:55;934] All Day Long.
[000:18:59;004] Also try Aleve
[000:18:59;004] Direct Therapy with
[000:19:01;940] TENS technology for
[000:19:01;940] lower back pain relief.
[000:19:09;882] CHURCH SHOOTING IN TENNESSEE.
[000:19:10;849] THE SUSPECT BEHIND BARS.
[000:19:13;252] AND AUTHORITIES NOW SAY HE HAD
[000:19:13;986] BEEN TO THAT CHURCH BEFORE.
[000:19:16;588] HERE'S STEVE OSUNSAMI.
[000:19:17;055] >> Reporter: TENNESSEE POLICE
[000:19:17;656] TONIGHT ARE HOLDING THE ACCUSED
[000:19:21;260] MURDERER, 25-YEAR-OLD EMANUEL
[000:19:22;361] SAMSON, WITHOUT BOND, AND SAY
[000:19:22;961] MORE CHARGES ARE COMING.
[000:19:25;297] >> THIS IS A LEVEL ONE MASS
[000:19:25;964] CASUALTY INCIDENT.
[000:19:29;067] >> Reporter: THEY WERE JUST
[000:19:29;635] GETTING OUT OF SUNDAY SERVICES
[000:19:30;269] AT THIS NASHVILLE CHURCH WHEN
[000:19:32;704] POLICE SAY THE SUDANESE
[000:19:33;205] IMMIGRANT PULLED INTO THE
[000:19:33;739] PARKING LOT WITH THREE PISTOLS
[000:19:34;373] AND A RIFLE.
[000:19:37;910] WITNESSES SAY WHEN 39-YEAR-OLD
[000:19:38;544] MELANIE CROW WALKED OUT, HE
[000:19:40;546] GUNNED HER DOWN.
[000:19:41;046] >> THERE'S NO UNDERSTANDING
[000:19:41;613] EVIL.
[000:19:45;284] THERE'S NO UNDERSTANDING HATE.
[000:19:46;218] >> Reporter: POLICE SAY SAMSON
[000:19:47;286] HAD ATTENDED SERVICES AT THE
[000:19:47;886] CHURCH BEFORE.
[000:19:48;287] SIX OTHER PEOPLE, INCLUDING THE
[000:19:48;921] PASTOR, WERE WOUNDED.
[000:19:50;889] >> WE GOT A POSSIBLE SIX
[000:19:51;423] VICTIMS.
[000:19:53;258] THE SUSPECT IS DOWN.
[000:19:57;996] >> Reporter: POLICE HAVE STOPPED
[000:20:00;299] SHORT OF EXPLAINING A MOTIVE,
[000:20:01;800] BUT THEIR REPORTS SAY SAMSON'S
[000:20:03;535] FATHER THOUGHT HE WAS SUICIDAL
[000:20:04;336] IN JULY.
[000:20:06;705] SUNDAY'S SHOOTING WAS STOPPED BY
[000:20:07;339] A CHURCH USHER WHO FOUGHT WITH
[000:20:07;973] HIM.
[000:20:08;340] CALEB ENGLE GOT A GUN FROM HIS
[000:20:08;974] OWN CAR AND HELD HIM UNTIL
[000:20:10;342] .EDPOEIVRR A
[000:20:13;245] USHER SAVED LIVES.
[000:20:13;979] AND THEY'RE CALLING HIM A HERO.
[000:20:15;047] DAVID?
[000:20:16;048] >> STEVE, THANK YOU.
[000:20:17;249] >>> WHEN WE COME BACK TONIGHT,
[000:20:17;883] THE MAJOR HEADLINE THIS EVENING
[000:20:20;252] ABOUT ASPIRIN AND YOUR HEART.
[000:20:20;852] >>> AND THEN, THE AIR SCARE
[000:20:21;420] TODAY.
[000:20:21;620] SMOKE SUDDENLY FILLING THE
[000:20:23;322] CABIN.
[000:20:23;522] PASSENGERS HAVING TO ESCAPE.
[000:20:25;224] PASSENGERS HAVING TO ESCAPE.
[000:20:25;224] WE'LL BE BACK.
[000:20:25;224] With my moderate to severe
[000:20:25;224] Crohn's disease,...
[000:20:28;493] ...I was always searching for
[000:20:28;493] ways to manage my symptoms.
[000:20:34;666] Then I realized managing was
[000:20:34;666] all I was doing.
[000:20:38;370] When I finally told my doctor,
[000:20:39;571] he said HUMIRA was for people
[000:20:39;571] like me
[000:20:41;406] who have tried other
[000:20:41;406] medications,...
[000:20:42;841] but still experience the
[000:20:42;841] symptoms
[000:20:44;109] of moderate to severe
[000:20:44;109] Crohn's disease.
[000:20:46;011] In clinical studies,
[000:20:46;912] the majority of patients
[000:20:46;912] on HUMIRA
[000:20:48;513] saw significant symptom
[000:20:48;513] relief...
[000:20:49;848] ...and many achieved remission.
[000:20:51;516] HUMIRA can lower your ability to
[000:20:51;516] fight infections...
[000:20:53;986] ...including tuberculosis.
[000:20:55;220] Serious, sometimes fatal
[000:20:55;220] infections and cancers,...
[000:20:57;489] including lymphoma, have
[000:20:57;489] happened;
[000:20:59;458] as have blood, liver, and
[000:20:59;458] nervous system problems,
[000:21:01;660] serious allergic
[000:21:01;660] reactions,...
[000:21:02;961] ...and new or worsening heart
[000:21:02;961] failure.
[000:21:04;596] Before treatment, get tested
[000:21:04;596] for TB.
[000:21:06;999] Tell your doctor if you've been
[000:21:06;999] to areas
[000:21:08;667] where certain fungal infections
[000:21:08;667] are common,
[000:21:10;602] and if you've had TB,...
[000:21:11;870] ...hepatitis B, are prone to
[000:21:11;870] infections,
[000:21:14;139] ...or have flu-like symptoms
[000:21:14;139] or sores.
[000:21:15;941] Don't start HUMIRA if you have
[000:21:15;941] an infection.
[000:21:18;010] If you're still just managing
[000:21:18;010] your symptoms,
[000:21:19;978] ask your gastroenterologist
[000:21:19;978] about HUMIRA.
[000:21:22;414] With HUMIRA, remission
[000:21:22;414] is possible.
[000:21:26;852] I tabut with my back paines,
[000:21:28;086] I couldn't sleep
[000:21:28;086] and get up in time.
[000:21:29;621] Then I found Aleve PM.
[000:21:31;256] Aleve PM is the only one to
[000:21:31;256] combine a safe sleep aid plus
[000:21:34;693] the 12 hour pain relieving
[000:21:34;693] strength of Aleve.
[000:21:36;728] I'm back.
[000:21:37;729] Aleve PM for a better AM.
[000:21:41;667] I CAN DO MORE TO LOWER MY A1C.
[000:21:44;903] AND I CAN DO IT WITH
[000:21:44;903] WHAT'S ALREADY WITHIN ME.
[000:21:50;542] BECAUSE MY BODY CAN STILL O IIN
[000:21:50;542] AND ONCE-WEEKLY TRULICITY
[000:21:50;542] ACTIVATES MY BODY TO RELEASE IT.
[000:21:54;046] TRULICITY IS NOT INSULIN.
[000:21:55;747] IT COMES IN A ONCE-WEEKLY,
[000:21:55;747] TRULY EASY-TO-USE PEN.
[000:21:58;784] IT WORKS 24/7, AND YOU DON'T
[000:21:58;784] HAVE TO SEE OR HANDLE A NEEDLE.
[000:22:02;854] TRULICITY IS A ONCE-WEEKLY
[000:22:02;854] INJECTABLE MEDICINE
[000:22:05;924] TO IMPROVE BLOOD SUGAR IN
[000:22:05;924] ADULTS WITH TYPE 2 DIABETES
[000:22:08;860] WHEN USED WITH
[000:22:08;860] DIET AND EXERCISE.
[000:22:11;196] IT SHOULD NOT BE THE FIRST
[000:22:11;196] MEDICINE TO TREAT DIABETES
[000:22:13;965] OR FOR PEOPLE WITH
[000:22:13;965] TYPE 1 DIABETES
[000:22:16;101] OR DIABETIC KETOACIDOSIS.
[000:22:18;704] DO NOT TAKE TRULICITY
[000:22:18;704] IF YOU HAVE A PERSONAL
[000:22:21;239] OR FAMILY HISTORY OF
[000:22:21;239] MEDULLARY THYROID CANCER,
[000:22:23;775] IF YOU HAVE MULTIPLE ENDOCRINE
[000:22:23;775] NEOPLASIA SYNDROME TYPE 2,
[000:22:27;079] OR IF YOU'RE ALLERGIC
[000:22:27;079] TO TRULICITY.
[000:22:29;381] STOP TRULICITY AND CALL
[000:22:29;381] YOUR DOCTOR RIGHT AWAY
[000:22:32;351] IF YOU HAVE A LUMP OR
[000:22:32;351] SWELLING IN YOUR NECK,
[000:22:34;586] SEVERE STOMACH PAIN,
[000:22:36;355] OR SYMPTOMS LIKE ITCHING,
[000:22:36;355] RASH, OR TROUBLE BREATHING.
[000:22:40;258] SERIOUS SIDE EFFECTS MAY
[000:22:40;258] INCLUDE PANCREATITIS.
[000:22:43;028] TAKING TRULICITY WITH A
[000:22:43;028] SULFONYLUREA OR INSULIN
[000:22:45;864] INCREASES YOUR RISK
[000:22:45;864] FOR LOW BLOOD SUGAR.
[000:22:47;866] COMMON SIDE EFFECTS INCLUDE
[000:22:47;866] NAUSEA, DIARRHEA, VOMITING,
[000:22:51;036] DECREASED APPETITE,
[000:22:51;036] AND INDIGESTION.
[000:22:53;271] SOME SIDE EFFECTS CAN
[000:22:53;271] LEAD TO DEHYDRATION,
[000:22:55;540] WHICH MAY WORSEN
[000:22:55;540] KIDNEY PROBLEMS.
[000:22:57;175] I CHOOSE ONCE-WEEKLY TRULICITY
[000:22:57;175] TO ACTIVATE MY WITHIN.
[000:23:00;512] IF YOU NEED HELP LOWERING
[000:23:00;512] YOUR A1C AND BLOOD SUGAR,
[000:23:03;682] ACTIVATE YOUR WITHIN.
[000:23:05;517] ASK YOUR DOCTOR ABOUT
[000:23:05;517] ONCE-WEEKLY TRULICITY.
[000:23:11;757] ItThe power of Nexium
[000:23:11;757] 24HR protection
[000:23:14;292] from frequent heartburn.
[000:23:15;627] All day, and all night.
[000:23:17;462] Now packed into
[000:23:17;462] a pill so small,
[000:23:19;798] We call it mini.
[000:23:20;766] New ClearMinis from Nexium 24HR.
[000:23:23;135] See Heartburn Differently.
[000:23:29;274] >>> TO THE INDEX.
[000:23:29;674] THE DEADLY POLICE CRASH IN NEW
[000:23:31;009] MEXICO.
[000:23:31;243] VIDEO SHOWING OFFICER JONATHAN
[000:23:33;278] McDONALD SPEEDING TO AN
[000:23:35;781] EMERGENCY CALL IN APRIL,
[000:23:37;249] COLLIDING WITH A MOTHER AND HER
[000:23:37;883] TWO CHILDREN IN THEIR SUV.
[000:23:38;784] HER 6-YEAR-OLD SON DIED THE NEXT
[000:23:40;886] DAY.
[000:23:41;253] McDONALD DRIVING UP TO 80 MILES
[000:23:44;022] PER HOUR.
[000:23:44;289] THE D.A. DECIDING IF HE WILL
[000:23:45;290] FACE CHARGES.
[000:23:45;624] >>> THE PLANE SCARE MOMENTS
[000:23:48;794] R EGTEAFNTINNDLA F G AIRLINES F
[000:23:50;896] FROM VEGAS TAXIING DOWN THE
[000:23:53;365] RUNWAY.
[000:23:55;167] SMOKE FILLING THE CABIN.
[000:23:55;667] PASSENGERS TOLD TO COVER THEIR
[000:23:56;301] FACES.
[000:23:56;668] THE AIRLINE NOW SAYS IT WAS A
[000:23:57;269] MECHANICAL ISSUE.
[000:23:57;669] >> TO ASPIRIN AND HEART DISEASE.
[000:23:58;303] A NEW STUDY SHOWING PATIENTS WHO
[000:24:00;338] TAKE A LOW DOSE ASPIRIN DAILY
[000:24:03;442] FOR AT LEAST ONE YEAR WILL
[000:24:04;009] INCREASE THEIR RISK OF HEART
[000:24:05;243] DISEASE IF THEY STOP ON THEIR
[000:24:05;844] OWN.
[000:24:06;044] ASK YOUR DOCTOR FIRST.
[000:24:08;647] THE STUDY APPEARS IN THE JOURNAL
[000:24:09;281] "CIRCULATION."
[000:24:10;749] >>> WHEN WE COME BACK, THE
[000:24:11;783] AMAZING FEAT TONIGHT.
[000:24:14;119] THE YOUNG U.S. MARINE THAT JUST
[000:24:16;588] MADE HISTORY.
[000:24:16;922] SHE IS AMERICA STRONG.
[000:24:19;991] ♪
[000:24:26;131] Your body was made for better
[000:24:26;131] things than
[000:24:28;366] rheumatoid arthritis.
[000:24:30;602] Before you and your
[000:24:30;602] rheumatologist move to another
[000:24:32;604] treatment, ask if XELJANZ is
[000:24:32;604] right for you.
[000:24:35;240] XELJANZ is a small pill for
[000:24:35;240] adults with
[000:24:37;776] moderate to severe RA for whom
[000:24:37;776] methotrexate did not work well.
[000:24:41;379] XELJANZ can reduce joint pain
[000:24:41;379] and swelling in as little as
[000:24:44;115] two weeks, and help stop further
[000:24:44;115] joint damage.
[000:24:46;785] XELJANZ can lower your ability
[000:24:46;785] to fight infections,
[000:24:49;421] including tuberculosis.
[000:24:51;122] Serious, sometimes fatal
[000:24:51;122] infections, lymphoma and other
[000:24:53;258] cancers have happened.
[000:24:54;593] Don't start XELJANZ if you have
[000:24:54;593] on.
[000:24:56;795] tiannTears in the stomach or
[000:24:56;795] intestines, low blood cell
[000:24:58;597] counts and higher liver tests
[000:24:58;597] and cholesterol levels have
[000:25:01;132] happened.
[000:25:02;200] Your doctor should perform blood
[000:25:02;200] tests before you
[000:25:03;802] start and while taking XELJANZ,
[000:25:03;802] and monitor certain liver tests.
[000:25:06;638] Tell your doctor if you were in
[000:25:06;638] a region where fungal
[000:25:08;807] infections are common and if you
[000:25:08;807] have had TB,
[000:25:10;642] hepatitis B or C, or are prone
[000:25:10;642] to infections.
[000:25:13;778] XELJANZ can reduce the symptoms
[000:25:13;778] of RA,
[000:25:16;081] even without methotrexate, and
[000:25:16;081] is also available
[000:25:19;117] in a once-daily pill.
[000:25:20;452] Ask about XELJANZ XR.
[000:25:24;022] Whstuff happens. old
[000:25:32;297] Shut down cold
[000:25:32;297] symptoms fast
[000:25:34;332] with Maximum Strength
[000:25:35;166] Alka Seltzer Plus
[000:25:35;166] Liquid Gels.
[000:26:37;462] ♪
[000:26:44;169] ♪
[000:26:51;176] ♪
[000:26:58;183] ♪
[000:27:05;190] ♪
[000:27:08;727] my doctor recommended I
[000:27:08;727] switch laxatives.
[000:27:10;762] Stimulant Laxatives
[000:27:10;762] make your body go
[000:27:12;464] by forcefully stimulating the
[000:27:12;464] nerves in your colon.
[000:27:15;066] MiraLAX is different.
[000:27:16;134] It works with the
[000:27:16;134] water in your body
[000:27:17;502] to hydrate and soften.
[000:27:18;803] Unblocking your
[000:27:18;803] system naturally.
[000:27:20;839] MiraLAX.
[000:27:41;760] >>> FINALLY TONIGHT HERE,
[000:27:43;294] AMERICA STRONG.
[000:27:45;263] FOR THE FIRST TIME IN ITS
[000:27:46;931] 242-YEAR HISTORY, THE MARINE
[000:27:47;866] CORPS WELCOMING ITS FIRST FEMALE
[000:27:48;533] INFANTRY OFFICER.
[000:27:52;137] THIS LIEUTENANT MADE HISTORY
[000:27:52;737] TODAY, BECOMING THE FIRST FEMALE
[000:27:53;705] INFANTRY OFFICER IN THE U.S.
[000:27:54;305] MARINE CORPS.
[000:27:56;775] >> NO, WE'RE GOING TO PUSH TO
[000:27:57;542] THE FRONT.
[000:27:58;276] GET YOUR GUN READY TO MOVE.
[000:27:59;811] >> Reporter: THE MARINE CORPS
[000:28:00;412] PUTTING OUT THESE IMAGES.
[000:28:01;246] THAT INFANTRY OFFICER WOULD
[000:28:04;015] RATHER US SKIP HER NAME, ASKING
[000:28:05;083] THAT SHE SIMPLY SERVE WITH HER
[000:28:05;717] FELLOW MARINES.
[000:28:07;619] SHE COMPLETED A GRUELING 13-WEEK
[000:28:09;287] INFANTRY OFFICER COURSE.
[000:28:11;890] THE MARINES ARE TESTED
[000:28:14;125] PHYSICALLY, MENTALLY, AS THEY
[000:28:16;861] COVER MILES OFFER T ER THTERRAI
[000:28:19;597] OBSTACLES.
[000:28:19;864] CARRYING 80 POUNDS OF GEAR FOR
[000:28:21;266] MORE THAN 14 MILES.
[000:28:23;101] IT WAS LESS THAN TWO YEARS AGO,
[000:28:23;735] THE DECISION WAS MADE TO OPEN
[000:28:24;335] ALL COMBAT ROLES TO WOMEN.
[000:28:25;270] THAT LIEUTENANT, THE FIRST
[000:28:25;837] FEMALE TO SUCCESSFULLY COMPLETE
[000:28:26;471] THIS COURSE.
[000:28:27;238] AMERICA STRONG.
[000:28:28;807] AND WE SALUTE HER TONIGHT.
[000:28:29;874] THANKS FOR WATCHING HERE ON A
[000:28:30;475] MONDAY NIGHT.
[000:28:30;875] I'M DAVID MUIR.
[000:28:31;943] I HOPE TO SEE YOU RIGHT BACK
[000:28:33;244] HERE TOMORROW.
[000:28:34;546] UNTIL THEN, GOOD NIGHT.
[000:28:55;967] .
[000:28:56;101] >>> RHETORIC AND REACTION, SEE
[000:28:58;570] WHOSE TALKING AND WHOSE TAKING
[000:29:00;739] FEUD BETWEEN THE PRESIDENT AND
[000:29:03;942] THE PROFESSIONAL
[000:29:11;249] >>> THAT'S GOING TO CAUSE UC
[000:29:13;718] BERKELEY A LOT.
[000:29:14;853] HOW THE UNIVERSITY SAYS BY
[000:29:16;621] PLAYING BY THE ORGANIZATION
[000:29:19;324] SPEECH WEEK.
[000:29:20;258] >>> LOOK WHO TOOK OVER TWITTER
[000:29:32;437] TODAY.
[000:29:34;773] >>> CRITICAL COMMENTS FROM
[000:29:35;340] PRESIDENT TRUMP CONTINUES TO
[000:29:40;979] FUEL DIFFERENT TEAMS.
[000:29:44;149] THE DALLAS COWBOYS AND THEIR
[000:29:46;384] OWNER JERRY JONES LINKED
[000:29:48;953] TOGETHER AND TOOK A KNEE JUST
[000:29:50;755] BEFORE THE NATIONAL ANTHEM.
[000:29:55;493] I'M CHRISTINE.
[000:29:58;596] >> AND I'M BDAN ASHLEY.
[000:30:05;470] >> PLAYERS KNEELED AND LINKED
[000:30:07;672] ARMS AND IN SOME CASES WERE NOT
