[000:00:00;583] THAT PLANE?
[000:13:59;922] WASHINGTON STATE, STAFF SERGEANT
[000:14:01;357] JEREMIAH JOHNSON FROM OHIO AND
[000:14:02;958] STAFF SERGEANT DUSTIN WRIGHT
[000:14:03;559] FROM GEORGIA.
[000:14:07;096] THEY WERE AMBUSHED WHILE ON A
[000:14:08;130] JOINT PATROL.
[000:14:11;901] BY EXTREMISTS.
[000:14:12;234] >>> THERE IS STILL MUCH MORE
[000:14:12;835] AHEAD THIS FRIDAY.
[000:14:13;502] THE ALLEGED TERROR PLOT IN NEW
[000:14:14;136] YORK CITY.
[000:14:14;503] THE DETAILS REVEALED TONIGHT.
[000:14:16;639] AUTHORITIES SAY THE PLAN FOR THE
[000:14:22;778] ATTACKS IN TIMES SQUARE AND THE
[000:14:23;879] NEW YORK CITY SUBWAY.
[000:14:24;413] THE FBI SEIZING BOMB-MAKING
[000:14:24;980] MATERIALS.
[000:14:25;948] MORE AFTER THE BREAK.
[000:14:26;415] >>> A FAMOUS DALLAS COWBOYS STAR
[000:14:28;584] AND HIS SON IN THE NEWS.
[000:14:29;084] THE CAMPUS FRATERNITY ACCUSED OF
[000:14:29;718] HAZING HIM.
[000:14:32;187] A BAT TO THE STOMACH IN A
[000:14:32;721] CULTURE DESCRIBED AS A FIGHT
[000:14:33;322] CLUB.
[000:14:36;358] >>> AND KEITH URBAN AND THE
[000:14:37;893] MOMENT THAT MOVED SO MANY AS WE
[000:14:38;527] HONOR THE FACES.
[000:14:38;894] A LOT MORE NEWS AHEAD.
[000:14:46;602] of multi.
[000:14:48;037] ♪
[000:14:50;472] That's why there's Trintellix,
[000:14:52;274] a prescription medication
[000:14:52;274] for depression.
[000:14:54;977] Trintellix may help you take
[000:14:54;977] a step forward
[000:14:56;912] in improving your depression.
[000:14:58;948] Tell your healthcare
[000:14:58;948] professional right away
[000:15:00;950] if your depression worsens,
[000:15:01;951] or you have unusual changes
[000:15:01;951] in mood,
[000:15:03;953] behavior or thoughts of suicide.
[000:15:05;955] Antidepressants can increase
[000:15:05;955] these in children,
[000:15:07;957] teens and young adults.
[000:15:09;058] Do not take with MAOIs.
[000:15:10;926] Tell your healthcare
[000:15:10;926] professional about
[000:15:12;928] your medications, including
[000:15:12;928] migraine, psychiatric
[000:15:15;264] and depression medications,
[000:15:16;465] to avoid a potentially
[000:15:16;465] life-threatening condition.
[000:15:19;034] Increased risk of bleeding or
[000:15:19;034] bruising may occur,
[000:15:21;337] especially if taken with NSAID
[000:15:21;337] pain relievers,
[000:15:23;372] aspirin or blood thinners.
[000:15:24;740] Manic episodes or
[000:15:24;740] vision problems
[000:15:26;775] may occur in some people.
[000:15:28;577] May cause low sodium levels.
[000:15:30;412] The most common side effects
[000:15:30;412] were nausea,
[000:15:32;114] constipation and vomiting.
[000:15:34;717] TRINTELLIX had no significant
[000:15:34;717] impact on weight
[000:15:37;720] in clinical trials.
[000:15:38;954] Ask your healthcare
[000:15:38;954] professional about TRINTELLIX.
[000:15:44;526] Rethink your allergy pills.
[000:15:46;328] Flonase Sensimist Allergy Relief
[000:15:47;963] helps block 6 key
[000:15:49;198] inflammatory
[000:15:49;198] substances
[000:15:50;399] with a
[000:15:50;399] gentle mist.
[000:15:51;667] Most allergy
[000:15:51;667] pills
[000:15:52;668] only block
[000:15:52;668] one.
[000:15:53;969] And 6 is greater
[000:15:55;070] than one.
[000:15:55;938] Flonase Sensimist.
[000:15:57;006] ♪
[000:15:58;641] ♪
[000:16:00;109] Traders -- They're always
[000:16:00;109] looking for advantages.
[000:16:03;612] The smart ones look
[000:16:03;612] to Fidelity to find them.
[000:16:06;615] We give you research
[000:16:06;615] and data-visualization tools
[000:16:09;151] to help identify
[000:16:09;151] potential opportunities.
[000:16:11;854] So, you can do it this way...
[000:16:13;455] or get everything you need to
[000:16:13;455] help capture investment ideas
[000:16:16;692] and make smarter trading
[000:16:16;692] decisions with Fidelity
[000:16:19;061] for just $4.95
[000:16:19;061] per online U.S. equity trade.
[000:16:22;998] Fidelity.
[000:16:24;066] Open an account today.
[000:16:25;634] ♪
[000:16:27;803] Open an account today.
[000:16:28;604] I AM TOTALLY BLIND.
[000:16:30;139] AND NON-24 CAN THROW MY
[000:16:30;139] DAYS AND NIGHTS OUT OF SYNC,
[000:16:33;942] KEEPING ME FROM THE
[000:16:33;942] THINGS I LOVE TO DO.
[000:16:36;879] TALK TO YOUR DOCTOR,
[000:16:38;614] AND CALL
[000:16:38;614] 844-214-2424.
[000:16:47;690] >>> NEXT TONIGHT HERE
[000:16:48;157] ALLEGATIONS OF BRUTAL HAZING AT
[000:16:48;791] THE UNIVERSITY OF OKLAHOMA.
[000:16:49;358] THE SON OF A FORMER DALLAS
[000:16:52;394] COWBOY STAR SUING A FRATERNITY
[000:16:53;929] CLAIMING A PLEDGE RITUAL LEFT
[000:16:54;530] HIM WITH BRAIN INJURIES AND
[000:16:55;097] MEMORY LOSS.
[000:16:57;066] HERE'S DAVID WRIGHT.
[000:16:58;634] >> Reporter: TONIGHT THE SON OF
[000:17:02;404] A DALLAS COWBOYS LEGEND IS SUING
[000:17:04;673] A UNIVERSITY OF OKLAHOMA
[000:17:05;207] FRATERNITY OVER AN ALLEGED
[000:17:06;975] HAZING RITUAL THAT HE SAYS LEFT
[000:17:09;044] HIM WITH PERMANENT BRAIN DAMAGE.
[000:17:10;612] FORMER COWBOY TIGHT END
[000:17:14;383] JAY NOVACEK'S SON BLAKE IS SUING
[000:17:16;418] OKLAHOMA'S CHAPTER OF BETA THETA
[000:17:17;886] PI, ACCUSING THE FRATERNITY OF
[000:17:20;389] VIOLENT HAZING RITUALS.
[000:17:21;523] HIS LAWYER PROVIDED PHOTOS OF
[000:17:23;058] WHAT HE SAYS WAS A "FIGHT CLUB,"
[000:17:26;228] JUST LIKE THE MOVIE, THAT HE
[000:17:26;829] SAYS LEFT NOVACECK WITH A BROKEN
[000:17:27;463] NOSE.
[000:17:30;365] NOVACEK IS SUING OVER ANOTHER
[000:17:30;966] ALLEGED INCIDENT.
[000:17:31;967] >> HE WAS BEATEN WITH A BASEBALL
[000:17:34;036] BAT AND KNOCKED UNCONSCIOUS.
[000:17:34;603] >> Reporter: HE SAYS THE
[000:17:36;672] INCIDENT LED TO TRAUMATIC BRAIN
[000:17:39;241] INJURY AND SEVERE MEMORY LOSS.
[000:17:39;842] THE LAWSUIT SAYS THAT INCIDENT
[000:17:43;412] TOOK PLACE ON OCTOBER 11, 2015,
[000:17:45;481] BUT THE FRATERNITY SAYS NOVACEK
[000:17:48;650] WAS NOT EVEN IN OKLAHOMA THAT
[000:17:51;720] DAY, CITING THIS INSTAGRAM PHOTO
[000:17:52;354] POSTED FROM THE DALLAS COWBOY'S
[000:17:52;988] GAME.
[000:17:56;425] NOVACEK'S LAWYER SAYS HIS CLIENT
[000:17:57;459] CANNOT BE SURE OF THE EXACT DATE
[000:17:58;494] BECAUSE OF THE MEMORY LOSS.
[000:18:00;562] SO THEY'RE AMENDING THE LAWSUIT.
[000:18:02;664] THE FRATERNITY SAYS IT DOES NOT
[000:18:04;700] CONDONE HAZING, AND CALLS THESE
[000:18:06;301] ALLEGATIONS FALSE AND
[000:18:07;336] INFLAMMATORY, DAVID.
[000:18:10;506] >>> WHEN WE COME BACK, BREAKING
[000:18:12;508] NEWS COMING IN ON THE MAN BEHIND
[000:18:14;109] SO MANY MOVIES OF OUR TIME.
[000:18:16;678] HE APOLOGIZED YESTERDAY AND
[000:18:17;246] WHAT'S HAPPENED TONIGHT.
[000:18:18;280] >>> ALSO, THE ALLEGED TERROR
[000:18:19;815] PLOT INVOLVING NEW YORK CITY
[000:18:20;415] TARGETING TIMES SQUARE AND THE
[000:18:21;049] SUBWAY.
[000:18:22;417] WHAT AUTHORITIES ARE NOW
[000:18:22;951] REVEALING.
[000:18:23;452] WE'LL BE RIGHT BACK.
[000:18:23;452] THE
[000:18:27;156] SUBWAY.
[000:18:27;389] WHAT AUTHORITIES ARE NOW
[000:18:28;290] REVEALING.
[000:18:28;557] WE'LL BE RIGHT BACK.
[000:18:29;892] CDs, baseball cards.
[000:18:32;261] Your old magic set?
[000:18:34;029] (Sigh)
[000:18:34;029] And this wrestling ticket.
[000:18:35;430] Which you still owe me for.
[000:18:36;899] Seriously? $25?
[000:18:38;667] I didn't even want to go.
[000:18:39;902] Ahh, your diary!
[000:18:42;237] "Mom says it is
[000:18:42;237] totally natural..."
[000:18:46;141] $25 is nothing.
[000:18:48;110] (Alert beep)
[000:18:49;411] Abracadabra, bro.
[000:18:51;680] Settle up with your friends
[000:18:51;680] on October 17th
[000:18:53;715] with the Bank of America
[000:18:53;715] Mobile Banking App.
[000:18:56;118] Settle up with your friends
[000:18:56;118] on October 17th
[000:18:57;319] When it comes to strong bones,
[000:18:57;319] are you on the right path?
[000:19:00;556] We have postmenopausal
[000:19:00;556] osteoporosis...
[000:19:02;891] ..and a high risk for fracture,
[000:19:02;891] so with our doctors...
[000:19:05;727] ...we chose Prolia®...
[000:19:07;095] ...to help make our bones
[000:19:07;095] stronger.
[000:19:08;897] Only Prolia® helps strengthen
[000:19:08;897] bones...
[000:19:11;099] ...by stopping cells that damage
[000:19:11;099] them...
[000:19:13;101] ...with 1 shot every 6 months.
[000:19:14;937] Do not take Prolia® if you have
[000:19:14;937] low blood calcium, are pregnant,
[000:19:17;873] are allergic to it, or take
[000:19:17;873] XGEVA®.
[000:19:20;209] Serious allergic reactions, like
[000:19:20;209] low blood pressure; trouble
[000:19:20;209] breathing;
[000:19:23;178] throat tightness; face, lip or
[000:19:23;178] tongue swelling...
[000:19:25;614] ...rash, itching or hives have
[000:19:25;614] happened.
[000:19:27;416] Tell your doctor about dental
[000:19:27;416] problems, as severe jaw bone...
[000:19:29;751] ...problems may happen or new or
[000:19:29;751] unusual pain in your hip groin,
[000:19:29;751] or thigh,
[000:19:33;288] as unusual thigh bone fractures
[000:19:33;288] have occurred.
[000:19:35;757] peak to your doctor before
[000:19:35;757] stopping Prolia®,
[000:19:37;793] as spine and other bone
[000:19:37;793] fractures have occurred.
[000:19:39;962] Prolia® can cause serious side
[000:19:39;962] effects, like low blood calcium;
[000:19:43;031] serious infections, which could
[000:19:43;031] need hospitalization;
[000:19:45;400] ...skin problems; and severe
[000:19:45;400] bone, joint, or muscle pain.
[000:19:48;470] If your bones aren't getting
[000:19:48;470] stronger...
[000:19:50;739] ...isn't it time for a new
[000:19:50;739] direction?
[000:19:53;308] Why wait? Ask your doctor about
[000:19:53;308] Prolia®.
[000:19:58;146] eight hundred dollars whenlmost
[000:19:59;147] we switched our auto and
[000:19:59;147] home insurance.
[000:20:00;749] Liberty did what?
[000:20:02;050] Yeah, they saved us a ton,
[000:20:03;385] which gave us a little wiggle
[000:20:03;385] room in our budget.
[000:20:06;188] Wish our insurance did that.
[000:20:07;456] Then we could get a real
[000:20:08;323] babysitter instead of
[000:20:08;323] your brother.
[000:20:09;791] Hey, welcome back.
[000:20:11;093] This guy... right?
[000:20:12;828] Yes.
[000:20:13;562] Ellen.
[000:20:16;932] That's my robe.
[000:20:19;001] You could save seven hundred
[000:20:19;001] eighty two dollars
[000:20:20;669] when Liberty stands with you.
[000:20:23;105] LIBERTY MUTUAL INSURANCE.
[000:20:28;944] I even accept I have a higher
[000:20:28;944] risk of stroke due to AFib,
[000:20:28;944] I accept I take easier trails
[000:20:28;944] than I used to.
[000:20:32;180] a type of irregular heartbeat
[000:20:32;180] not caused
[000:20:34;116] by a heart valve problem.
[000:20:35;484] But no matter what path I take,
[000:20:35;484] I go for my best.
[000:20:39;121] So if there's something better
[000:20:39;121] than warfarin,
[000:20:41;423] I'll go for that too. ELIQUIS.
[000:20:43;992] ELIQUIS reduced the risk of
[000:20:43;992] stroke better than warfarin,
[000:20:47;396] plus had less
[000:20:47;396] major bleeding
[000:20:47;396] than warfarin.
[000:20:50;232] ELIQUIS had both.
[000:20:51;533] Don't stop taking ELIQUIS unless
[000:20:51;533] your doctor tells you to,
[000:20:54;236] as stopping increases your risk
[000:20:54;236] of having a stroke.
[000:20:56;672] ELIQUIS can cause serious and in
[000:20:56;672] rare cases fatal bleeding.
[000:20:59;708] Don't take ELIQUIS if you have
[000:20:59;708] an artificial heart valve
[000:21:02;244] or abnormal bleeding.
[000:21:03;545] While taking ELIQUIS, you may
[000:21:03;545] bruise more easily...
[000:21:06;048] ...and it may take longer than
[000:21:06;048] usual for any bleeding to stop.
[000:21:08;717] Seek immediate medical care for
[000:21:08;717] sudden signs of bleeding,
[000:21:11;486] like unusual bruising.
[000:21:12;788] ELIQUIS may increase your
[000:21:12;788] bleeding risk
[000:21:14;489] if you take certain medicines.
[000:21:15;857] Tell your doctor about all
[000:21:15;857] planned medical
[000:21:17;960] or dental procedures.
[000:21:19;161] I'm still going
[000:21:19;161] for my best.
[000:21:21;263] And for ELIQUIS.
[000:21:22;631] Ask your doctor about ELIQUIS.
[000:21:28;704] >>> TO THE "INDEX" TONIGHT AND
[000:21:30;339] THE DANGEROUS CHASE THROUGH THE
[000:21:31;373] STREETS OF MIAMI.
[000:21:31;773] A SUSPECTED BANK ROBBER TRYING
[000:21:32;441] TO OUTRUN POLICE.
[000:21:32;975] FOR 40 MINUTES.
[000:21:35;544] CARJACKING TWO DRIVERS AT
[000:21:36;078] GUNPOINT.
[000:21:38;213] POLICE SAY HE WAS STILL ARMED
[000:21:39;247] WHEN HE JUMPED INTO A RIVER.
[000:21:41;249] THE SUSPECT SHOT AND KILLED BY
[000:21:41;883] OFFICERS.
[000:21:42;818] HE THREATENED TO SHOOT AND
[000:21:43;385] REFUSED TO SURRENDER.
[000:21:46;455] >> THE TERROR PLOT REVEALED HERE
[000:21:47;522] IN NEW YORK CITY.
[000:21:47;923] AUTHORITIES ARRESTING THREE
[000:21:53;195] SUSPECTS BEHIND AN ALLEGED ISIS
[000:21:56;031] INSPIRED PLAN TO DETONATE BOMBS
[000:21:58;367] AND TAKING
[000:22:00;736] PICTURES OF THEIR POSSIBLE
[000:22:01;303] TARGETS.
[000:22:03;305] PROSECUTORS SAY THE SUSPECTS
[000:22:03;905] MARKED UP A MAP OF THE SUBWAY
[000:22:04;506] SYSTEM AND THE FBI SAID THE
[000:22:05;073] SUSPECTS WERE FROM CANADA,
[000:22:05;640] PAKISTAN AND THE PHILIPPINES.
[000:22:11;713] >>> HARVEY WEINSTEIN WILL BE
[000:22:12;647] SUSPENDED FROM THE COMPANY THAT
[000:22:13;281] BEARS HIS NAME PENDING AN
[000:22:14;249] INVESTIGATION INTO CLAIMS OF
[000:22:14;850] SEXUAL HARASSMENT.
[000:22:16;418] ALLEGATIONS MADE BY ASHLEY JUDD.
[000:22:19;988] WEINSTEIN APOLOGIZING FOR HIS
[000:22:21;023] ACTIONS YESTERDAY.
[000:22:26;228] >>> THE MOMENT THAT MOVED SO
[000:22:26;828] MANY.
[000:22:27;029] KEITH URBAN AND WHAT HE DID AS
[000:22:27;662] WE REMEMBER TONIGHT.
[000:22:44;079] Whenstuff happens. d...
[000:22:59;795] Shut down cold symptoms fast
[000:23:01;363] with Maximum
[000:23:01;363] Strength Alka Seltzer
[000:23:03;298] Plus Liquid Gels.
[000:23:03;298] Only have a sore throat?
[000:23:05;634] Get long-lasting
[000:23:05;634] relief for up to 6 hours
[000:23:07;803] with New Alka Seltzer
[000:23:07;803] Plus Sore Throat Relief.
[000:23:10;806] DEPEND SILHOUETTE
[000:23:10;806] ACTIVE FIT BRIEFS,
[000:23:12;207] FEATURE A THIN DESIGN
[000:23:12;207] FOR COMPLETE COMFORT.
[000:23:14;009] THEY SAY "MOVE IT OR LOSE IT" -
[000:23:15;544] AND AT MY AGE, I'M
[000:23:15;544] MOVING MORE THAN EVER.
[000:23:17;846] BECAUSE GETTING
[000:23:17;846] OLDER IS INEVITABLE.
[000:23:19;514] BUT FEELING OLDER?
[000:23:20;782] THAT'S SOMETHING I CONTROL.
[000:23:22;317] GET A FREE SAMPLE
[000:23:22;317] AT DEPEND.COM.
[000:23:27;856] What twisted ankle?ask
[000:23:27;856] THAT'S SOMETHING I CONTROL.
[000:23:29;858] What muscle strain?
[000:23:31;359] Advil makes pain a distant
[000:23:31;359] memory
[000:23:33;695] Nothing works faster
[000:23:34;863] Stronger
[000:23:35;530] Or Longer
[000:23:36;364] What
[000:23:37;532] Pain?
[000:23:38;366] Advil.
[000:23:40;936] Remember that accident I got in
[000:23:42;237] with the pole, and I
[000:23:42;237] had to make a claim
[000:23:42;237] and all that?
[000:23:43;572] Is that whole thing
[000:23:43;572] still dragging on?
[000:23:44;573] No, I took some pics
[000:23:44;573] with the app and...
[000:23:45;574] filed a claim, but...
[000:23:46;975] You know how they send you
[000:23:46;975] money to cover repairs and...
[000:23:48;977] They took forever
[000:23:48;977] to pay you, right?
[000:23:50;245] No, I got paid
[000:23:50;245] right away, but...
[000:23:52;180] at the very end of
[000:23:52;180] it all, my agent...
[000:23:53;448] Wouldn't even call
[000:23:53;448] you back, right?
[000:23:54;683] No, she called to see
[000:23:54;683] if I was happy.
[000:23:56;184] But if I wasn't happy
[000:23:56;184] with my claim experience
[000:23:58;053] for any reason,
[000:23:59;154] they'd give me
[000:23:59;154] my money back,
[000:24:00;755] no questions asked.
[000:24:02;023] Can you believe that?
[000:24:03;525] No.
[000:24:04;593] The Claim Satisfaction
[000:24:04;593] Guarantee,
[000:24:06;495] only from Allstate.
[000:24:07;896] Switching to Allstate
[000:24:07;896] is worth it.
[000:26:00;108] >>> FINALLY TONIGHT, SINGER
[000:26:00;675] KEITH URBAN AT A VIGIL IN
[000:26:01;209] NASHVILLE FOR THE VICTIMS IN LAS
[000:26:01;843] VEGAS.
[000:26:03;211] HE TALKED ABOUT A QUESTION FROM
[000:26:05;847] HIS 9-YEAR-OLD AND PERFORMED A
[000:26:08;416] SONG.
[000:26:08;617] TONIGHT WE REMEMBER 58 NAMES, 58
[000:26:09;251] FACES LOST.
[000:26:14;656] >> MY 9-YEAR-OLD AS I WAS
[000:26:16;625] DRIVING HER TO SCHOOL SAID TO
[000:26:20;395] ME, DAD, YOU SEEM QUIET.
[000:26:20;895] I SAID, YEAH.
[000:26:21;963] I'M REALLY -- A LOT OF PEOPLE
[000:26:23;565] KILLED LAST NIGHT.
[000:26:26;101] AND SHE SAID DID YOU KNOW ANY OF
[000:26:28;670] THEM?
[000:26:29;237] AND I SAID, NOT THAT I KNOW OF.
[000:26:31;306] AND THEN SHE SAID, WELL, THEN
[000:26:31;906] WHY ARE YOU SO SAD?
[000:26:35;977] I SAID, WELL, FIRST OF ALL,
[000:26:38;079] THESE WERE INNOCENT PEOPLE.
[000:26:44;653] ♪ WHEN YOU'RE WEARY
[000:26:49;524] ♪ FEELIN' SMALL
[000:26:54;195] ♪ WHEN TEARS ARE IN YOUR EYES
[000:26:59;934] ♪ I WILL DRY THEM ALL
[000:27:04;639] ♪ I'M ON YOUR SIDE
[000:27:10;345] ♪ OH WHEN THE TIMES GET ROUGH
[000:27:16;551] ♪ AND PRECIOUS CAN BE FOUND
[000:27:24;626] ♪ LIKE A BRIDGE OVER TROUBLED
[000:27:25;460] WATER ♪
[000:27:32;133] ♪ I WILL LAY ME DOWN
[000:27:35;270] ♪ LIKE A BRIDGE OVER TROUBLED
[000:27:35;904] WATER ♪
[000:27:39;407] ♪ I WILL LAY ME DOWN
[000:27:56;057] ♪ LIKE A BRIDGE OVER TROUBLED
[000:27:56;691] WATER ♪
[000:28:02;697] ♪ I WILL LAY MEOWN
[000:28:04;899] ♪ LIKE A BRIDGE OVER TROUBLED
[000:28:08;636] WATER ♪
[000:28:11;139] ♪ I WILL LAY ME DOWN
[000:28:16;344] ♪ LIKE A BRIDGE OVER TROUBLED
[000:28:16;978] WATER ♪
[000:28:22;050] ♪ I WILL LAY ME DOWN
[000:28:30;392] ♪ I WILL LAY ME DOWN
[000:28:40;301] >> THANK YOU FOR WATCHING ON
[000:28:43;405] ANOTHER DIFFICULT WEEK.
[000:28:43;938] I'LL SEE YOU LATER TONIGHT ON
[000:28:44;639] "20/20".
[000:28:46;808] I'M DAVID MUIR.
[000:28:47;175] GOOD NIGHT.
[000:28:57;018] .
[000:28:57;152] >>> UP AND AWAY, THEN BACK FOR
[000:28:59;554] MORE.
[000:28:59;921] LIVE WITH THE BEST OF THE BLUE
[000:29:01;589] ANGELS SO FAR AND WHAT THERE'S
[000:29:02;891] TO LOOK FORWARD TO WITH FLEET
[000:29:04;492] WEEK THERE WEEKEND.
[000:29:06;227] >> IT'S DEFINITELY A STIGMA
[000:29:09;764] ATTACHED TO MENTALLY HEALTH
[000:29:11;966] ISSUES.
[000:29:12;300] >> TONIGHT YOU'LL MEET TEENAGERS
[000:29:14;169] WORKING TO END THE STIGMA OF
[000:29:19;240] MENTALLY ILLNESS.
[000:29:19;641] >>> AND WE ARE WITH THE WARRIORS
[000:29:21;509] IN CHINA.
[000:29:22;377] WHERE STEPH CURRY ISN'T THE ONLY
[000:29:24;479] STAR.
[000:29:24;712] WHAT MAKE THIS MAN WITH GLASSES
[000:29:27;715] SUCH A BIG
[000:29:34;756] >>> ONE ICON NEXT TO ANOTHER,
[000:29:37;258] THE GOLDEN GATE BRIDGE AND THE
[000:29:39;260] BL ANGELS, IT IS FLEET WEEK
[000:29:41;429] AND THE BEST IS YET TO TODAY.
[000:29:43;264] I'M DAN ASHLEY.
[000:29:45;567] >> I'M CHRISTIAN SZE.
[000:29:47;735] YOU CANNOT MISS THE SOUNDS OF
[000:29:49;671] THE JETS FLYING OVER THE BAY,
[000:29:52;340] GETTING A GLIMPSE TAKE MORE
[000:29:57;846] EFFORT.
[000:29:58;079] >> ABC 7 NEWS REPORTER LIVE WITH
[000:29:59;681] MORE.
[000:30:00;448] CORNELL.
[000:30:00;915] >> Reporter: YEAH, LOTS OF
[000:30:03;318] VIEWING SPOTS ALL OVER THE CITY
[000:30:05;553] BUT I THINK WE HAD THE BEST SEAT
[000:30:07;222] IN THE HOUSE.
[000:30:08;857] THE WEATHER WAS PERFECT FOR THE
[000:30:10;692] SHOW.
[000:30:10;892] TODAY WAS A BIT OF A WARM-UP.
[000:30:13;228] THEY'LL BE BACK IN THE AIR
[000:30:16;731] SATURDAY AND SUNDAY AFTERNOON.
[000:30:20;268] THE NAVY'S BLUE ANGELS ROARED
[000:30:23;938] ACROSS THE SFROES WATER FRONT.
[000:30:26;541] THE JAW-JANING PRECISION, AR
[000:30:31;379] BASK FLYING.
[000:30:32;480] >> I LOVE THE BLUE ANGELS, I
[000:30:35;416] THINK THEY ARE SMART.
[000:30:37;652] >> Reporter: BRAYTON TOOK THE
[000:30:38;820] DAY OFF TO SEE THE WEEK SHOW.
[000:30:41;656] >> I LEFT A MESSAGE ON THE
[000:30:45;360] SCHOOL ANSWERING MACHINE SAYING
[000:30:46;895] HE HAS A BAD CASE OF WANTING TO
[000:30:49;697] SEE THE BLUE ANGELS HERE WE ARE.
[000:30:52;100] >> Reporter: EARLIER THIS AIR
[000:30:55;670] FORCE-16 CAPABLE OF FLYING
[000:30:57;272] BUZZED THE WATER FRONT.
[000:30:59;507] >>
